Rocket,Launch,Mach Number,Pitch (deg),Roll (deg),drag_x (N),drag_y (N),drag_z (N),Total Drag (N),C_D_x,C_D_y,C_D_z,Total C_D
athena,westmar,0.35,9,0,78.179231,6.0068425,229.42216,242.451,0.078,0.006,0.23,0.243
athena,westmar,0.55,1,0,175.08193,0.73977657,65.467267,186.923,0.175,0.001,0.066,0.187
athena,westmar,0.25,1,0,37.450963,0.12320617,13.264619,39.731,0.038,0.0,0.013,0.04
athena,westmar,0.6,4,0,216.13788,1.60719,300.75143,370.364,0.216,0.002,0.301,0.37
athena,westmar,0.5,0,0,144.75853,0.45212408,1.3589024,144.766,0.145,0.0,0.001,0.145
athena,westmar,0.15,5,0,14.392906,0.22604539,23.452477,27.518,0.014,0.0,0.024,0.028
athena,westmar,0.2,0,0,24.077409,0.049505411,0.23610303,24.079,0.024,0.0,0.0,0.024
athena,westmar,0.65,5,0,255.77436,3.0917465,444.16096,512.552,0.256,0.003,0.445,0.513
athena,westmar,0.45,0,0,117.79565,0.3303684,1.1602151,117.802,0.118,0.0,0.001,0.118
athena,westmar,0.35,0,0,72.049022,0.15621901,0.70580019,72.053,0.072,0.0,0.001,0.072
athena,westmar,0.2,12,0,26.154354,5.1772324,101.68309,105.12,0.026,0.005,0.102,0.105
athena,westmar,0.4,1,0,93.905865,0.36244405,34.228123,99.95,0.094,0.0,0.034,0.1
athena,westmar,0.3,1,0,53.501994,0.18661973,19.162696,56.831,0.054,0.0,0.019,0.057
athena,westmar,0.6,12,0,220.37064,38.149227,936.37355,962.712,0.221,0.038,0.938,0.964
athena,westmar,0.35,12,0,77.367745,14.067983,312.19217,321.944,0.078,0.014,0.313,0.323
athena,westmar,0.5,9,0,156.1289,11.288931,474.05083,499.227,0.156,0.011,0.475,0.5
athena,westmar,0.2,9,0,26.361628,2.1922783,74.430711,78.992,0.026,0.002,0.075,0.079
athena,westmar,0.1,12,0,7.5687407,1.3477618,24.934188,26.092,0.008,0.001,0.025,0.026
athena,westmar,0.7,4,0,292.99457,1.9895895,417.0547,509.69,0.293,0.002,0.417,0.51
athena,westmar,0.35,1,0,72.329753,0.24990043,26.129527,76.905,0.073,0.0,0.026,0.077
athena,westmar,0.45,1,0,118.21648,0.52229108,43.414616,125.937,0.118,0.001,0.044,0.126
athena,westmar,0.3,0,0,53.284041,0.11746823,0.53125357,53.287,0.053,0.0,0.001,0.053
athena,westmar,0.4,0,0,93.554557,0.24539719,0.93198553,93.56,0.094,0.0,0.001,0.094
athena,westmar,0.5,12,0,154.46288,27.022242,642.89162,661.739,0.155,0.027,0.644,0.663
